id,nombre,precio,descripcion,imagen
1,Maiz por libra,3000,"Planta cereal de tallo macizo, recto y largo, hojas grandes, alargadas y alternas, flores masculinas agrupadas en racimo y femeninas agrupadas en mazorcas que reúnen hasta un millar de semillas dispuestas sobre un núcleo duro.",http://cdn.wikifaunia.com/wp-content/uploads/2015/05/maiz1.jpg
2,Frijol por kilo,3050,"Planta herbácea de tallo delgado y en espiral, hojas grandes, trifoliadas, flores blancas o amarillas y frutos en legumbre, largos y aplastados, con varias semillas arriñonadas.",http://cuantas-calorias.org/wp-content/uploads/2016/09/frijoles-1.jpg
3,Lenteja por libra,2000,"Es una planta anual herbácea de la familia fabaceae, con tallos de 30 a 40 cm, endebles, ramosos y estriados, hojas oblongas, estípulas lanceoladas, zarcillos poco arrollados, flores blancas con venas moradas, sobre un pedúnculo axilar, y fruto en vaina pequeña, con dos o tres semillas pardas en forma de disco de medio centímetro de diámetro, aproximadamente.",http://gdegastronomia.es/wp-content/uploads/2016/05/lentejas-l.jpg
4,Litro de leche,2500,"La leche es una secreción nutritiva de color blanquecino opaco producida por las células secretoras de las glándulas mamarias o mamas de las hembras de los mamíferos, incluidos los monotremas.",http://revistaialimentos.com/files/blog/3064.jpg
5,Litro jugo de Naranja,2350,"El zumo de naranja es un zumo de frutas en forma de líquido obtenido de exprimir el interior de las naranjas, generalmente con un instrumento denominado exprimidor.",https://http2.mlstatic.com/envase-18-litro-jugo-D_NQ_NP_363111-MLV20486935226_112015-F.jpg
6,Arveja por kilo,6500,"Pisum sativum es una planta herbácea de la familia de las leguminosas, más o menos trepadora, propia de la cuenca mediterránea, aunque muy extendida en todo el mundo.",http://tierra-isleña.com/wp-content/uploads/2015/06/guisantes.jpg
7,Garbanzo por libra,3333,"El garbanzo es una especie de leguminosa, muy extendida en la India y en el ámbito mediterráneo.",http://www.myprotein.es/thezone/wp-content/uploads/2016/01/Garbanzo.jpg
8,Papa por arroba,15000,La papa o patata es una especie de planta herbácea perteneciente al género Solanum de la familia de las solanáceas originaria de Sudamérica y cultivada por todo el mundo por sus tubérculos comestibles.",http://2.bp.blogspot.com/-YI2pgxwdgng/VL1E6e-c28I/AAAAAAAAACY/rZaWTNch2wg/s1600/190115-1159(002).jpg
9,Yuca por kilo,2000,"La yuca o mandioca es originaria del centro de América del Sur y desde antiguo se ha cultivado en la mayor parte de las áreas tropicales y subtropicales del continente americano.",http://www.exportperusac.com/images/YUCA%20%20MANDIOCA%20%20%203.jpg
10,Tomate por libra,1000,"Es una especie de la familia de las solanáceas originaria de Centro y Sudamérica y su uso como comida se originó en México.",http://innatia.info/images/galeria/tomates-0.jpg
